Brand,Total Count
Ford,110432
Chevrolet,102268
Toyota,77786
Nissan,66250
Honda,50193
Jeep,40373
Hyundai,35837
Dodge,34368
BMW,32415
GMC,29008
Kia,28636
Mercedes-Benz,26323
Volkswagen,23249
Lexus,20641
Ram,19808
Subaru,16428
Chrysler,16357
Cadillac,15047
Mazda,13365
Audi,12618
Buick,12491
INFINITI,12258
Acura,11049
Lincoln,7120
Volvo,5106
MINI,4375
Porsche,4106
Land,4096
Mitsubishi,4080
Scion,3043
Jaguar,2200
Pontiac,1783
FIAT,1782
Mercury,1076
Maserati,1047
Saturn,963
HUMMER,949
smart,713
Bentley,367
Ferrari,345
Suzuki,334
Saab,260
Tesla,231
Aston,149
Genesis,141
Oldsmobile,122
Lamborghini,121
Rolls-Royce,92
Isuzu,76
Plymouth,51
McLaren,47
Alfa,44
Lotus,42
AM,19
Fisker,19
Freightliner,11
Maybach,10
Geo,2
